🇨🇳央视频道🇨🇳,#genre#
CCTV2,http://58.51.111.46:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://61.184.128.243:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://118.248.172.101:8088/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.118.223.183:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://36.40.237.72:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://123.138.216.44:9902/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000036BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfGVSARKsxkWGZw7vFUuOj2QZHeRzosIxVbl7i2QHFATHA3k5wDWG1qHkZQAleNv%2FbI
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2,http://111.177.107.69:20000/hls/6/index.m3u8
CCTV2,http://113.206.114.34:8005/udp/225.0.4.132:7980
CCTV2,http://171.221.34.38:4022/udp/239.93.1.23:6000
CCTV2,http://221.217.54.227:4022/rtp/239.3.1.60:8084
CCTV2,http://182.138.161.192:8889/udp/239.93.1.23:6000
CCTV2,http://123.101.158.95:808/hls/2/index.m3u8
CCTV2,http://111.225.113.109:808/tsfile/live/0002_1.m3u8
CCTV2,http://113.101.119.76:808/hls/115/index.m3u8
CCTV2,http://14.19.198.125:9876/udp/239.253.43.17:5146
CCTV2,http://14.19.198.125:9876/udp/239.77.0.137:5146
CCTV2,http://14.19.198.125:9876/udp/239.77.1.158:5146
CCTV2,http://116.116.119.83:9999/udp/239.125.2.65:4120
CCTV2,http://118.249.23.89:9999/udp/239.76.246.152:1234
CCTV2,http://118.249.23.89:9999/udp/239.76.253.152:9000
CCTV2,http://183.185.172.208:8082/rtp/226.0.2.154:9144
CCTV2,http://183.185.172.208:8085/rtp/226.0.2.154:9144
CCTV2,http://27.10.76.220:8005/udp/225.0.4.132:7980
CCTV2,http://27.10.76.220:8003/udp/225.0.4.132:7980
CCTV2,http://27.10.76.220:8002/udp/225.0.4.132:7980
CCTV2,http://27.10.72.127:8001/udp/225.0.4.132:7980
CCTV2,http://27.10.72.127:8002/udp/225.0.4.132:7980
CCTV2,http://27.10.72.127:8003/udp/225.0.4.132:7980
CCTV2,http://14.121.146.11:554/udp/239.77.0.137:5146
CCTV2,http://14.121.146.11:554/udp/239.77.1.158:5146
CCTV2,http://14.121.146.11:30001/udp/239.253.43.17:5146
CCTV2,http://14.121.146.11:30001/udp/239.77.0.137:5146
