更新时间,#genre#
20240622-09-29-37,url


央视频道,#genre#
CCTV3,http://183.0.186.131:9900/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727c125355/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMUNNEYLCPUtKY62j1Wp5u04wipypKUQ1TTuR2lXvBl5YpHqBJmlA19x22TD9bUOjk#http://121.13.85.231:8000/udp/239.77.0.169:5146#http://61.184.128.243:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://116.5.169.184:8884/udp/239.77.0.169:5146#http://119.135.1.161:9999/udp/239.77.0.169:5146#http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://14.212.185.27:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0#http://119.125.135.202:11/udp/239.77.0.169:5146#http://125.89.163.44:8888/udp/239.77.0.169:5146#http://183.54.209.215:9999/udp/239.77.0.169:5146#http://113.87.227.140:5000/udp/239.77.0.169:5146
CCTV3,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://59.34.139.143:4000/udp/239.77.0.169:5146
CCTV3,http://113.206.114.34:8001/udp/225.0.4.142:7980
CCTV3,http://116.5.169.184:8884/udp/239.77.0.175:5146
CCTV3,http://183.184.204.165:8082/rtp/226.0.2.208:9576
CCTV3,http://59.34.139.143:4000/udp/239.77.0.175:5146
CCTV3,http://58.23.26.184:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://61.51.140.138:8888/rtp/239.3.1.172:8001
CCTV3,http://120.84.121.113:808/hls/5/index.m3u8
CCTV3,http://110.185.239.180:8888/udp/239.93.1.11:2223
CCTV4,http://110.185.239.180:8888/udp/239.93.1.105:5140
CCTV4,http://116.31.166.176:1688/udp/239.77.1.163:5146
CCTV4,http://116.5.169.184:8884/udp/239.77.1.166:5146
CCTV4,http://110.178.52.111:8084/udp/239.1.1.10:8010
CCTV4,http://110.178.52.111:8085/udp/239.1.1.10:8010
CCTV4,http://211.158.152.48:8008/udp/225.0.4.176:7980
CCTV4,http://113.206.114.34:8003/udp/225.0.4.176:7980
CCTV4,http://113.57.103.216:9000/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://110.178.52.111:8082/udp/239.1.1.10:8010
CCTV4,http://27.11.54.11:8001/udp/225.0.4.176:7980
CCTV4,http://110.184.114.89:4022/udp/239.93.1.105:5140
CCTV4,http://110.178.52.111:8083/udp/239.1.1.10:8010
CCTV4,http://59.34.139.143:4000/udp/239.77.1.163:5146
CCTV4,http://36.40.237.57:9999/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://59.34.139.143:4000/udp/239.77.1.166:5146
CCTV4,http://183.184.204.165:8083/rtp/226.0.2.156:9160
CCTV4,http://61.51.140.138:8888/rtp/239.3.1.105:8092
CCTV4,http://120.84.121.113:808/hls/107/index.m3u8
CCTV4,http://183.184.204.165:8082/rtp/226.0.2.156:9160
CCTV4,http://120.84.121.113:808/hls/8/index.m3u8
CCTV4,http://116.31.166.176:1688/udp/239.77.1.166:5146
CCTV4,http://183.0.186.131:9900/tsfile/live/0004_1.m3u8
CCTV4,http://110.178.44.116:8084/udp/239.1.1.10:8010
CCTV4,http://113.206.114.34:8001/udp/225.0.4.176:7980
CCTV4,http://59.34.139.143:4000/udp/239.77.0.78:5146
CCTV4,http://01e117.netsite.cc/proxy/488588922/488588922.m3u8
CCTV4,http://119.125.135.202:11/udp/239.77.1.163:5146#http://14.212.185.27:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0#http://113.100.72.40:8899/udp/239.77.1.163:5146#http://183.30.201.182:10002/udp/239.77.0.78:5146#http://61.184.128.243:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0#http://113.87.227.140:5000/udp/239.77.0.78:5146#http://183.54.209.215:9999/udp/239.77.0.78:5146#http://113.71.149.151:5555/udp/239.77.0.78:5146#http://113.71.149.151:5555/udp/239.77.1.163:5146#http://121.13.85.231:8000/udp/239.77.1.163:5146#http://119.135.1.161:9999/udp/239.77.0.78:5146#http://218.19.111.194:9999/udp/239.77.0.78:5146#http://183.0.186.131:9900/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0#http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,http://113.206.114.34:8002/udp/225.0.4.176:7980
CCTV4,http://120.84.121.199:808/hls/107/index.m3u8
CCTV4,http://116.31.166.176:1688/udp/239.77.0.78:5146
CCTV4,http://61.51.140.138:8888/rtp/239.3.1.213:4220
CCTV4,http://112.235.202.148:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://60.220.167.244:8085/rtp/226.0.2.156:9160
CCTV4,http://01e117.netsite.cc/proxy/968404657/968404657.m3u8
CCTV4,http://120.84.121.199:808/hls/8/index.m3u8
CCTV4,http://171.108.239.77:8181/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://61.51.140.138:8888/rtp/239.3.1.214:4220
CCTV4,http://27.11.54.11:8002/udp/225.0.4.176:7980
CCTV5,http://123.138.216.44:9902/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://211.158.152.48:8008/udp/225.0.4.73:7980
CCTV5,http://183.184.204.165:8083/rtp/226.0.2.209:9584
CCTV5,http://110.184.114.89:4022/udp/239.93.1.36:8004
CCTV5,http://27.11.54.11:8001/udp/225.0.4.73:7980
CCTV5,http://110.178.52.111:8083/udp/239.1.1.11:8011
CCTV5,http://183.184.204.165:8082/rtp/226.0.2.209:9584
CCTV5,http://125.122.11.106:9999/udp/233.50.201.197:5140
CCTV5,http://116.31.166.176:1688/udp/239.77.1.31:5146
CCTV5,http://120.84.121.199:808/hls/109/index.m3u8
CCTV5,http://116.135.5.219:8082/rtp/226.0.2.168:9256
CCTV5,http://120.84.121.199:808/hls/110/index.m3u8
CCTV5,http://116.31.166.176:1688/udp/239.77.0.87:5146
CCTV5,http://116.5.169.184:8884/udp/239.77.1.31:5146
CCTV5,http://110.178.52.111:8084/udp/239.1.1.11:8011
CCTV5,http://183.0.186.131:9900/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://27.11.54.11:8002/udp/225.0.4.143:7980
CCTV5,http://116.135.5.219:8082/rtp/226.0.2.209:9584
CCTV5,http://61.51.140.138:8888/rtp/239.3.1.130:8004
CCTV5,http://110.178.44.116:8084/udp/239.1.1.11:8011
CCTV5,http://58.48.37.158:1111/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://59.34.139.143:4000/udp/239.77.0.87:5146
CCTV5,http://110.178.52.111:8085/udp/239.1.1.12:8012
CCTV5,http://27.11.54.11:8002/udp/225.0.4.73:7980
CCTV5,http://113.206.114.34:8001/udp/225.0.4.143:7980
CCTV5,http://113.206.114.34:8001/udp/225.0.4.73:7980
CCTV5,http://59.34.139.143:4000/udp/239.77.1.31:5146
