更新时间,#genre#
20240618-22-29-21,url


RespoTime,whitelist,#genre#
173.01ms,广西卫视,http://124.228.160.94:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
173.52ms,CCTV2,http://175.10.228.235:8081/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
173.53ms,江苏卫视,http://118.248.168.109:8088/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
173.54ms,求索科学,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000004000000011/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000011&IASHttpSessionId=OTT19019320240419154124000281
173.58ms,CCTV10,http://175.10.228.235:8081/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
173.66ms,黑龙江卫视,http://175.10.228.235:8081/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
174.06ms,CCTV14,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
174.28ms,广西卫视,http://223.159.9.13:8099/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
174.72ms,CCTV6,http://118.248.168.109:8088/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
174.90ms,哒啵电竞,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000003000000066/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000066&IASHttpSessionId=OTT19019320240419154124000281
174.99ms,安多卫视,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
175.46ms,江苏卫视,http://175.10.228.235:8081/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
175.47ms,CCTV15,http://124.228.160.94:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
175.47ms,CCTV8,http://223.159.9.13:8099/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
175.56ms,CCTV9,http://175.10.228.235:8081/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
175.57ms,河南卫视,http://223.159.9.13:8099/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
175.74ms,东方卫视,http://175.10.228.235:8081/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
175.77ms,北京卫视,http://124.228.160.94:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
175.80ms,CCTV2,http://118.248.168.109:8088/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
175.82ms,陕西卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226457/index.m3u8
175.87ms,CCTV12,http://118.248.168.109:8088/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
175.90ms,CCTV7,http://175.10.228.235:8081/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
175.91ms,湖南卫视,http://223.151.51.74:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
